PDB	IC50	K_value
6qgf	5.48	4.98
6qi7	5.68	5.38
6qln	4.54	4.33
6qlo	4.62	4.42
6qlp	4.61	4.61
6qlq	4.64	4.49
6qlr	4.60	4.79
6qls	(4, 27)	(4, 27)
6qlt	4.57	4.57
6qlu	4.96	4.81
6qmr	5.90	5.99
6qmt	5.08	5.86
6qqq	5.71	5.72
6qqt	6.03	6.03
6qqu	6.80	7.08
6qqv	7.34	6.85
6qqw	6.30	5.91
6qqz	6.97	7.06
6qr0	6.59	6.65
6qr1	7.57	7.19
6qr2	7.18	7.31
6qr3	6.66	7.26
6qr4	7.13	7.22
6qr7	7.10	7.58
6qr9	6.85	7.46
6qra	6.71	7.01
6qrc	6.34	6.48
6qrd	7.19	7.34
6qre	4.90	4.47
6qrf	4.65	4.13
6qrg	4.83	4.68
6qsz	4.70	5.03
6qtm	5.94	5.68
6qto	6.69	6.94
6qtq	(1, 26)	(1, 26)
6qtr	7.34	6.73
6qts	(1, 26)	(1, 26)
6qtw	6.45	5.67
6qtx	6.70	7.00
6quv	5.30	4.90
6quw	4.63	5.07
6qw8	7.20	8.59
6qwi	5.98	6.27
6qxa	6.64	6.21
6qxd	5.57	5.01
6r4k	5.90	6.93
6rot	7.44	7.02
6rr0	(15, 76)	(15, 76)
6rtn	6.96	6.03
6s07	9.64	6.88
6s55	3.54	4.22
6s56	5.67	5.03
6s57	4.27	4.44
6s9w	7.35	7.84
6s9x	7.64	7.54
6sen	8.31	6.43
6seo	8.32	7.19
6sfc	6.63	6.72
6st3	7.43	7.32
6t6a	5.74	5.16
6te6	6.78	7.29
6tel	7.07	7.24
6ten	7.53	8.10
6ufn	5.42	5.91
6ufo	5.45	6.48
6uhu	5.66	6.89
6uhv	6.55	6.66
6uii	4.66	5.75
6uil	5.94	7.04
6uim	6.00	6.82
6uvp	7.15	5.98
6uvv	6.55	5.95
6uvy	6.42	5.44
6uwp	7.60	7.24
6uwv	7.78	6.09
6v5l	4.27	3.96
Mean	6.235035211267606	6.191478873239436
