PDB	IC50	K_value
6i62	6.27	7.00
6i63	6.22	6.46
6i64	6.48	6.63
6i65	5.14	4.88
6i66	5.26	5.19
6i67	5.71	5.31
6i68	5.30	4.96
6i74	5.23	5.11
6i75	5.26	5.13
6i76	5.67	5.59
6i77	5.52	5.86
6i78	5.31	5.48
6i7a	4.75	4.32
6i8m	8.07	7.20
6i8t	8.17	7.39
6i9a	6.58	7.29
6ibx	7.49	7.41
6iby	7.28	7.23
6ibz	7.71	7.19
6ic0	7.94	7.18
6inz	(4, 13)	(4, 13)
6izq	5.18	5.10
6j06	5.42	6.21
6j9w	5.19	5.27
6j9y	4.93	5.30
6jad	4.75	5.50
6jag	5.44	5.63
6jam	4.91	5.25
6jan	5.58	5.54
6jao	4.63	5.37
6jap	(6, 15)	(6, 15)
6jaq	4.34	4.76
6jb0	5.42	5.81
6jb4	4.86	5.05
6jbb	(6, 15)	(6, 15)
6jbe	4.24	4.68
6jib	4.71	4.47
6jid	6.61	7.34
6jmf	7.65	6.91
6jon	4.84	5.26
6jse	7.13	7.69
6jsf	7.02	7.42
6jsg	6.42	7.05
6jsn	7.89	7.44
6jsz	7.21	6.33
6jut	7.34	7.58
6jwa	6.90	6.32
6k04	7.49	7.17
6k05	7.29	7.56
6k1s	7.17	5.32
6k2n	(5, 32)	(5, 32)
6k3l	8.00	7.29
6kjd	5.13	5.60
6kjf	5.77	5.63
6md6	5.27	4.36
6mhb	4.43	4.77
6mhc	4.36	4.68
6mhd	5.28	5.76
6mo7	7.18	6.26
6mo8	6.93	6.82
6mo9	7.05	6.80
6moa	7.44	6.79
6n0m	5.10	4.57
6n4e	6.56	6.37
6n53	6.13	5.05
6n55	6.42	4.73
6n8x	5.38	6.94
6n92	6.42	5.86
6n93	6.47	5.25
6n94	6.38	5.95
6n96	5.66	5.33
6n97	6.95	6.55
6nd3	5.90	5.25
6np2	(13, 24)	(13, 24)
6np3	(13, 24)	(13, 24)
6np4	(12, 25)	(12, 25)
6np5	(12, 25)	(12, 25)
6npi	3.87	3.81
6npm	5.83	5.04
6npp	5.84	5.14
6nsv	5.57	5.54
6nt2	7.30	6.30
6nv7	7.55	7.90
6nv9	7.64	7.83
6nw3	8.04	7.67
6o0h	5.23	5.71
6o3x	3.85	4.77
6o3y	4.44	5.12
6o5g	5.77	4.65
6o5u	(14, 23)	(14, 23)
6o9b	6.10	4.42
6o9c	7.19	5.42
6od6	6.75	7.44
6oi8	8.29	8.91
6oie	7.11	6.20
6oim	7.20	6.71
6oin	5.69	5.14
6oio	6.00	5.93
6oip	6.36	6.72
6oiq	5.73	5.92
6oir	6.00	6.24
6olx	6.01	7.10
6om4	6.98	7.04
6op9	7.77	8.56
6os5	4.89	5.83
6os6	5.07	5.82
6ovz	4.94	5.12
6p8x	5.48	5.55
6p8y	5.98	5.55
6p8z	6.16	6.50
6pgo	5.84	5.65
6pgp	6.71	5.86
6pnm	4.45	4.89
6pnn	5.35	5.24
6pno	4.45	5.42
6pya	6.17	6.33
6pyb	7.68	7.45
6pz4	6.54	7.32
6q36	12.11	8.15
6q38	10.47	8.18
6q4q	10.08	7.40
6qfe	5.49	6.34
6qge	5.54	5.46
6qgf	5.70	5.25
6qi7	5.65	5.64
6qln	4.68	4.44
6qlo	4.45	4.30
6qlp	4.81	4.71
6qlq	4.43	4.49
6qlr	4.51	4.54
6qls	(4, 27)	(4, 27)
6qlt	4.51	4.30
6qlu	4.86	4.61
6qmr	5.96	6.08
6qmt	4.95	5.80
6qqq	5.83	5.41
6qqt	6.39	6.29
6qqu	6.81	6.89
6qqv	6.32	6.60
6qqw	6.10	5.87
6qqz	6.83	6.65
6qr0	7.24	6.97
6qr1	7.82	7.66
6qr2	7.43	7.47
6qr3	6.83	7.04
6qr4	7.19	7.27
6qr7	7.32	7.96
6qr9	7.60	7.66
6qra	7.04	6.87
6qrc	6.87	6.88
6qrd	7.21	7.07
6qre	4.70	4.32
6qrf	4.46	3.87
6qrg	4.71	4.68
6qsz	5.26	4.86
6qtm	5.23	4.69
6qto	6.83	6.68
6qtq	(1, 26)	(1, 26)
6qtr	6.32	6.59
6qts	(1, 26)	(1, 26)
6qtw	5.83	5.58
6qtx	7.14	6.88
6quv	5.09	4.94
6quw	4.28	4.88
6qw8	7.51	8.68
6qwi	6.03	6.51
6qxa	6.52	6.11
6qxd	6.30	6.13
6r4k	6.12	7.02
6rot	7.22	7.13
6rr0	(15, 76)	(15, 76)
6rtn	7.06	6.00
6s07	9.98	7.69
6s55	3.89	4.11
6s56	5.59	5.43
6s57	4.50	4.14
6s9w	7.86	7.74
6s9x	8.03	7.76
6sen	6.23	6.02
6seo	10.66	8.55
6sfc	6.31	6.24
6st3	7.13	7.24
6t6a	5.79	5.17
6te6	7.26	7.75
6tel	7.37	8.45
6ten	7.17	7.46
6ufn	5.83	6.32
6ufo	6.07	6.60
6uhu	5.65	7.01
6uhv	6.89	6.96
6uii	4.38	5.71
6uil	5.69	6.81
6uim	6.08	6.95
6uvp	7.53	6.68
6uvv	6.55	5.61
6uvy	6.77	5.48
6uwp	7.69	6.61
6uwv	8.11	6.71
6v5l	4.28	3.93
Mean	6.317368421052631	6.230350877192983
